Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
RUS ADRIAN,46,nd,nd,nd,25,0.00,0.00,21/30,0/2,0/1,DIF,['Panchinaro'],40,60,False,False,False,Pisa,STABLE,0
LUSUARDI MATEUS,46,nd,nd,nd,12,0.00,0.00,21/30,0/2,0/2,DIF,"['Titolare', 'Falloso', 'Giovane talento']",40,80,False,True,True,Pisa,STABLE,0
CARACCIOLO ANTONIO,45,nd,nd,nd,35,0.00,0.00,11/20,0/1,0/2,DIF,['Titolare'],20,60,False,False,False,Pisa,STABLE,0
PINTUS NICOLA,45,nd,nd,nd,0,0.00,0.00,0/10,0/1,0/1,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Cagliari,STABLE,0
UBANI MARLON,45,nd,nd,nd,38,0.00,0.00,0/10,0,0,DIF,"['Panchinaro', 'Giovane talento']",20,80,False,True,False,Lecce,STABLE,0
SLOTSAGER TOBIAS,44,nd,nd,nd,14,0.00,0.00,0/10,0/1,0/1,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Verona,STABLE,0
OYEGOKE DANIEL,43,5.67,nd,nd,3,5.67,0.45,11/20,0/2,0/2,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Verona,STABLE,3
PEREZ MATIAS,43,nd,nd,nd,0,0.00,0.00,0/10,0,0,DIF,['Panchinaro'],40,60,False,True,False,Lecce,STABLE,0
DENOON DANIEL,44,nd,nd,nd,13,0.00,0.00,11/20,0/1,0/1,DIF,"['Panchinaro', 'Giovane talento']",40,80,False,True,False,Pisa,STABLE,0
CORAZZA TOMMASO,43,nd,6.00,nd,0,0.00,0.00,0/10,0/3,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,True,False,Bologna,STABLE,0
GABRIEL TIAGO,42,6.25,nd,nd,2,6.25,0.33,0/10,0/1,0/1,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Lecce,STABLE,2
MBAMBI JEREMY,43,nd,nd,nd,4,0.00,0.00,0/10,0/1,0/1,DIF,"['Panchinaro', 'Giovane talento']",20,80,False,True,False,Pisa,STABLE,0
MCTOMINAY SCOTT,94,7.70,nd,nd,33,7.70,6.69,21/30,8/11,4/7,CEN,"['Fuoriclasse', 'Titolare', 'Goleador', 'Piazzati']",60,60,True,False,False,Napoli,STABLE,33
PALMA MATTEO,41,nd,nd,nd,9,0.00,0.00,11/20,0/1,0/2,DIF,['Panchinaro'],20,60,False,True,False,Udinese,STABLE,0
OTOA SEBASTIAN,42,4.67,nd,nd,3,4.67,0.37,11/20,0/3,0/2,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Genoa,STABLE,3
PASALIC MARIO,88,6.14,6.82,6.41,32,6.14,5.17,11/20,4/7,3/5,CEN,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60,60,False,False,False,Atalanta,DOWN,32
BARELLA NICOLO',92,6.65,6.59,6.86,30,6.65,5.25,30+,4/7,3/5,CEN,"['Fuoriclasse', 'Titolare', 'Buona Media']",100,80,False,False,False,Inter,UP,30
CALHANOGLU HAKAN,87,7.02,7.83,6.74,26,7.02,4.80,21/30,4/7,4/7,CEN,"['Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",80,80,False,False,False,Inter,DOWN,26
FREULER REMO,87,6.17,6.08,nd,35,6.17,5.68,30+,0/3,0/3,CEN,['Titolare'],40,40,False,False,False,Bologna,UP,35
ANGUISSA ANDRÈ ZAMBO,88,7.05,5.85,6.60,33,7.05,6.12,30+,0/3,0/3,CEN,"['Titolare', 'Buona Media']",60,60,False,False,False,Napoli,UP,33
DA CUNHA LUCAS,84,6.38,nd,nd,34,6.38,5.71,21/30,3/5,3/5,CEN,"['Titolare', 'Buona Media', 'Piazzati']",40,60,False,False,False,Como,STABLE,34
LOCATELLI MANUEL,87,6.27,5.96,6.08,33,6.27,5.45,21/30,3/5,3/5,CEN,"['Titolare', 'Buona Media', 'Goleador']",60,60,True,False,False,Juventus,UP,33
